"Date","Prefecture","Guests_Total","Guests_Prefecture","Guests_OutsidePrefecture","Type_Ryokan","Type_Resort","Type_Business","Type_City","Type_Simple","Type_CompaniesGroups","Pref_Ryokan","Out_Ryokan","Pref_Resort","Out_Resort","Pref_Business","Out_Business","Pref_City","Out_City","Pref_Simple","Out_Simple","Pref_CompaniesGroups","Out_CompaniesGroups","Occupancy_Rate","Occupancy_Tourists","Occupancy_NonTourists","Occupancy_0to9","Occupancy_Tourists_0to9","Occupancy_NonTourists_0to9","Occupancy_10to19","Occupancy_Tourists_10to19","Occupancy_NonTourists_10to19","Occupancy_30to99","Occupancy_Tourists_30to99","Occupancy_NonTourists_30to99","Occupancy_over100","Occupancy_Tourists_over100","Occupancy_NonTourists_over100","Occupancy_Ryokan","Occupancy_Resort","Occupancy_Business","Occupancy_City","Occupancy_Simple","Occupancy_CompaniesGroups"
2020-02-01,"Aichi",1420290,331590,988240,92060,51970,1007520,223330,37060,8360,51590,35350,22500,11410,190980,753960,43460,165660,18400,18160,4650,3710,40.2,24.2,51.3,22.6,10.1,42.6,47.3,30,52.7,45.8,33.7,55.2,32.2,22.7,44.2,15.5,24.4,50.9,49,14.4,25.2
2020-02-01,"Akita",270860,70370,186310,60300,10240,170890,20900,8160,370,16040,43770,3070,7170,42560,114670,4770,16130,3590,4550,340,20,25.3,13.4,37,22.1,5.2,31.8,26.1,14.7,37,27.4,17.1,48.1,34.1,20.5,54.8,13.4,17.4,45.7,47.6,6.2,2.9
2020-02-01,"Aomori",316860,91660,216990,76330,18690,189250,20160,12190,220,24060,52270,2510,16180,51060,129980,6960,13200,6840,5350,220,0,29.5,23.5,34.4,20.1,10.1,25.4,34,20.2,42.1,34.1,28,40,37.5,39.6,28,18.1,33.1,42.4,30.8,15.4,4.7
2020-02-01,"Chiba",1811020,276640,1415600,125250,884230,491590,219200,77200,13550,46190,77470,61860,749710,100590,353320,40520,178680,23420,48870,4060,7560,36.7,35.1,40.8,17.6,14.9,26.9,37.6,28.1,46.7,42.6,40.3,48.4,44.9,47.5,38,20.6,47.5,41.6,46.1,10.6,16.8
2020-02-01,"Ehime",325690,48640,239280,71270,7800,182740,37700,22340,3840,5280,64850,1150,4940,31610,118560,4430,33270,4470,15530,1710,2140,36.2,23.3,48.7,18,11.9,27.1,46.4,19,56,48.3,33.9,64.9,43.4,37.8,48.8,30.3,41,58.4,47.3,9.8,15.4
2020-02-01,"Fukui",267760,47780,211880,107310,20940,117740,14600,7160,NA,29570,77090,1620,19310,13150,98800,1300,11860,2140,4810,NA,NA,25.2,18.7,38.5,10.3,7.5,18.3,33.4,13.4,50.9,39,30.8,50.1,36.7,36.6,37.9,19.1,32,50.3,34.5,4.8,NA
2020-02-01,"Fukuoka",1545480,316150,1175570,41630,45420,1089570,294620,58800,15430,21640,18680,19440,24300,200440,845810,46070,248140,21270,32790,7290,5850,44.3,28.7,57.4,27,19.1,47.5,51,29,59,53.3,44.9,59.4,46.4,32.1,58.2,15.4,24.2,58.5,51.2,12.5,13.1
2020-02-01,"Fukushima",1012260,251020,701180,328580,152770,468640,17180,35410,9660,102900,209890,15210,118500,116190,330920,3920,13260,8800,22940,3990,5670,31.1,21.5,46,21,8.4,39.7,37.3,19.4,48.8,39.2,30.1,57.6,44.2,44.6,39.4,23.8,37.4,54.1,43.1,7.2,15.8
2020-02-01,"Gifu",524090,75390,415720,176250,89220,188120,16130,46590,7790,22500,146510,10790,77510,33220,134200,3300,12830,4320,40790,1260,3870,31,26.2,50.3,17.2,14.6,32.4,40.9,31.1,58.8,39.8,34.2,60.9,37.2,37.3,35.3,23.4,37.3,62.1,40,15.4,15.1
2020-02-01,"Gunma",655580,108950,530380,315940,95180,193360,18930,19790,12370,43230,266380,7290,85100,44200,147510,4080,14850,1170,13690,8970,2840,31.4,27.3,47.2,16.5,16,21.2,42,29.8,63.2,41,37.7,48.7,33.9,33.9,NA,26.9,33.9,58.4,37.8,9.3,29.1
2020-02-01,"Hiroshima",726400,149920,550040,43240,42850,460250,133280,43770,3020,10400,30540,10030,27870,96050,349060,20000,113280,12310,27720,1140,1560,36.4,19.1,48.7,20.9,13.8,32,37.9,13.7,49.8,42.8,24.4,54.4,52.1,41.4,57,16.9,31.7,56.9,52.1,8.8,7.6
2020-02-01,"Hokkaido",2767720,927040,1670390,483390,392780,1177380,524390,167180,22610,224170,217410,107930,267360,435120,640300,97500,418270,46700,120070,15620,6990,36.5,34.8,39.8,17.8,17.4,18.6,44.8,40.6,48.9,44.3,39.4,54.5,43.8,41.4,58,21.3,36.9,51.6,51.9,20.1,17.6
2020-02-01,"Hyogo",964940,224220,676890,252870,127080,374740,139910,44330,26010,79590,165690,27310,72140,68440,283620,24710,115200,15700,26960,8470,13290,30.2,23.7,44.1,14.2,10.8,29.5,34.2,20.2,47.6,39,33.6,46,37.4,35,48.4,23.7,30.6,48.9,43.2,9.1,18.7
2020-02-01,"Ibaraki",465770,103670,324860,92600,8650,333500,17850,10090,3080,19860,72740,3390,5260,68940,227320,5860,11980,4000,6090,1610,1470,33.1,17.6,43.2,18.8,10.9,24.8,37,7.7,49.2,44.2,27.7,58.7,40.8,39.8,41.4,17,22.2,51.9,39.4,8,25.1
2020-02-01,"Ishikawa",602270,94660,466600,176340,19030,307960,64780,32220,1950,46130,114920,3940,11600,34470,251320,3280,61510,5620,26530,1220,730,32.5,28.7,44.9,15.2,14.5,21.7,41.7,34.8,52.4,36.9,33.6,47.1,32.7,30.8,51.1,24.8,24.5,49.2,52.1,10.7,13.2
2020-02-01,"Iwate",446660,148010,298330,113900,85100,180660,43290,23080,640,54700,59200,22370,62730,51770,128890,10100,32870,8600,14480,480,160,30,22.5,39.7,17.3,11.6,24.9,36.4,16.6,43.4,33.3,26.5,46,35,32.2,63.6,20.3,27.5,50.1,44.1,14.5,24.5
2020-02-01,"Kagawa",273260,38190,224920,38580,45000,126730,36070,26490,390,6610,31220,3740,41270,19640,107080,3990,22690,4210,22280,0,390,29.5,20.2,47.9,14.9,12.5,32.5,29.9,13.2,43.4,42.5,29.7,58.5,38.1,33.8,50.4,20.5,33.9,49.3,44.8,10,20.1
2020-02-01,"Kagoshima",598830,145040,433110,114240,72590,321670,57010,30490,2830,29380,83580,14980,55890,76670,227870,11130,45880,12300,17650,570,2260,34,22.9,48.4,16.7,10.2,26.6,45.6,21.5,59,49,32.6,68.6,44.5,41.1,67.9,24.9,29.7,60.4,51.3,7.6,20.7
2020-02-01,"Kanagawa",1597560,423790,1005380,153380,182080,859040,205750,138530,58780,45130,107880,42020,113650,192940,553500,51660,151860,72160,41410,19890,37080,38.4,30,47.1,18.2,9.8,30.7,44.3,35.2,50.9,47.6,39.9,54.2,48.5,49.1,48,19.7,40.4,53.1,51.5,31.3,12.6
2020-02-01,"Kochi",215500,33060,157640,35190,16920,131460,22850,9080,NA,3870,25440,1620,15300,22440,91020,3300,19550,1830,6330,NA,NA,25.9,16.2,38.5,12.8,5.6,22.5,36.7,16.3,47.4,36.3,27.9,63.4,39.6,32.5,69.3,14.9,23.6,50.5,46.3,4.2,NA
