"Prefecture","Date","NewlyConfirmedCases","Guests_Total","Guests_Prefecture","Guests_OutsidePrefecture","Month"
"Tokyo",2020-07-01,57.8390861808791,2097350,1003080,992070,7
"Tokyo",2020-08-01,35.0095539492386,2283210,1162120,1015590,8
"Tokyo",2020-09-01,38.0848136698712,2454690,1118060,1221220,9
"Tokyo",2020-10-01,70.1970743174952,3451200,1383360,1851160,10
"Tokyo",2020-11-01,137.881262798455,3888860,1593790,2090330,11
"Tokyo",2020-12-01,287.358817460129,3604480,1533250,1814050,12
"Tottori",2020-07-01,1.26489184271251,175060,40200,132590,7
"Tottori",2020-08-01,2.3490848507518,213760,46520,164110,8
"Tottori",2020-09-01,0.542096504019645,186620,36250,148070,9
"Tottori",2020-10-01,3.6139766934643,236260,43990,186910,10
"Tottori",2020-11-01,11.0226289150661,272230,53880,215680,11
"Tottori",2020-12-01,14.4559067738572,215040,53540,157860,12
"Toyama",2020-07-01,14.3987228622728,170850,48500,116820,7
"Toyama",2020-08-01,2.99570744114401,213310,59220,147050,8
"Toyama",2020-09-01,0.483178619539357,225580,55290,165550,9
"Toyama",2020-10-01,3.47888606068337,251220,54540,194760,10
"Toyama",2020-11-01,9.85684383860288,261760,63650,188400,11
"Toyama",2020-12-01,30.4402530309795,190410,58830,131380,12
"Wakayama",2020-07-01,8.67129713933907,272550,48950,216910,7
"Wakayama",2020-08-01,1.30069457090086,434800,70360,353080,8
"Wakayama",2020-09-01,3.68530128421911,325990,73700,243360,9
"Wakayama",2020-10-01,19.2936361350294,378070,54440,312440,10
"Wakayama",2020-11-01,17.7761591356451,446030,54260,381510,11
"Wakayama",2020-12-01,48.4508727660571,334330,49620,269050,12
"Yamagata",2020-07-01,0.187261183471953,271110,87050,170400,7
"Yamagata",2020-08-01,0,328520,109910,203760,8
"Yamagata",2020-09-01,0.749044733887814,334410,99450,219660,9
"Yamagata",2020-10-01,4.58789899506286,421590,124800,277140,10
"Yamagata",2020-11-01,23.5949091174661,416980,127200,273970,11
"Yamagata",2020-12-01,10.8611486413733,294450,91720,188920,12
"Yamaguchi",2020-07-01,8.56892282679078,227800,57580,157730,7
"Yamaguchi",2020-08-01,2.45890828942692,273370,80290,182360,8
"Yamaguchi",2020-09-01,0.894148468882516,351050,97930,237140,9
"Yamaguchi",2020-10-01,12.9651527987965,388730,97720,242960,10
"Yamaguchi",2020-11-01,14.9769868537821,352280,96380,241720,11
"Yamaguchi",2020-12-01,48.2840173196558,290880,95720,181250,12
"Yamanashi",2020-07-01,9.38301723265191,278950,42300,212880,7
"Yamanashi",2020-08-01,2.09883280204056,492450,56410,394070,8
"Yamanashi",2020-09-01,3.20997957959144,438720,49420,375620,9
"Yamanashi",2020-10-01,16.0498978979572,483580,58550,400940,10
"Yamanashi",2020-11-01,27.6552086857109,541710,57310,457410,11
"Yamanashi",2020-12-01,41.3593522755051,369860,49510,302900,12
