"Date","Prefecture","NewlyConfirmedCases","NumberOfDeaths","SevereCases"
2020-01-29,"Mie",0,NA,NA
2020-01-29,"Miyagi",0,NA,NA
2020-01-29,"Miyazaki",0,NA,NA
2020-01-29,"Nagano",0,NA,NA
2020-01-29,"Nagasaki",0,NA,NA
2020-01-29,"Nara",0,NA,NA
2020-01-29,"Niigata",0,NA,NA
2020-01-29,"Oita",0,NA,NA
2020-01-29,"Okayama",0,NA,NA
2020-01-29,"Okinawa",0,NA,NA
2020-01-29,"Osaka",1,NA,NA
2020-01-29,"Saga",0,NA,NA
2020-01-29,"Saitama",0,NA,NA
2020-01-29,"Shiga",0,NA,NA
2020-01-29,"Shimane",0,NA,NA
2020-01-29,"Shizuoka",0,NA,NA
2020-01-29,"Tochigi",0,NA,NA
2020-01-29,"Tokushima",0,NA,NA
2020-01-29,"Tokyo",0,NA,NA
2020-01-29,"Tottori",0,NA,NA
2020-01-29,"Toyama",0,NA,NA
2020-01-29,"Wakayama",0,NA,NA
2020-01-29,"Yamagata",0,NA,NA
2020-01-29,"Yamaguchi",0,NA,NA
2020-01-29,"Yamanashi",0,NA,NA
2020-01-30,"Aichi",0,NA,NA
2020-01-30,"Akita",0,NA,NA
2020-01-30,"Aomori",0,NA,NA
2020-01-30,"Chiba",1,NA,NA
2020-01-30,"Ehime",0,NA,NA
2020-01-30,"Fukui",0,NA,NA
2020-01-30,"Fukuoka",0,NA,NA
2020-01-30,"Fukushima",0,NA,NA
2020-01-30,"Gifu",0,NA,NA
2020-01-30,"Gunma",0,NA,NA
2020-01-30,"Hiroshima",0,NA,NA
2020-01-30,"Hokkaido",0,NA,NA
2020-01-30,"Hyogo",0,NA,NA
2020-01-30,"Ibaraki",0,NA,NA
2020-01-30,"Ishikawa",0,NA,NA
2020-01-30,"Iwate",0,NA,NA
2020-01-30,"Kagawa",0,NA,NA
2020-01-30,"Kagoshima",0,NA,NA
2020-01-30,"Kanagawa",0,NA,NA
2020-01-30,"Kochi",0,NA,NA
2020-01-30,"Kumamoto",0,NA,NA
2020-01-30,"Kyoto",1,NA,NA
2020-01-30,"Mie",1,NA,NA
2020-01-30,"Miyagi",0,NA,NA
2020-01-30,"Miyazaki",0,NA,NA
2020-01-30,"Nagano",0,NA,NA
2020-01-30,"Nagasaki",0,NA,NA
2020-01-30,"Nara",0,NA,NA
2020-01-30,"Niigata",0,NA,NA
2020-01-30,"Oita",0,NA,NA
2020-01-30,"Okayama",0,NA,NA
2020-01-30,"Okinawa",0,NA,NA
2020-01-30,"Osaka",0,NA,NA
2020-01-30,"Saga",0,NA,NA
2020-01-30,"Saitama",0,NA,NA
2020-01-30,"Shiga",0,NA,NA
2020-01-30,"Shimane",0,NA,NA
